time,open,high,low,Close,tick_volume,spread,real_volume
2024-07-01 01:15:00,2324.67,2325.41,2324.67,2325.18,53,22,0
2024-07-01 01:20:00,2325.11,2325.5,2324.53,2325.17,91,20,0
2024-07-01 01:25:00,2325.17,2325.17,2324.44,2324.74,77,20,0
2024-07-01 01:30:00,2324.65,2324.76,2323.85,2324.14,119,20,0
2024-07-01 01:35:00,2324.13,2324.68,2323.66,2324.4,121,20,0
2024-07-01 01:40:00,2324.39,2324.89,2324.38,2324.79,36,20,0
2024-07-01 01:45:00,2324.79,2324.89,2324.59,2324.89,38,20,0
2024-07-01 01:50:00,2324.88,2325.05,2324.58,2324.64,56,20,0
2024-07-01 01:55:00,2324.6,2324.68,2324.2,2324.56,94,20,0
2024-07-01 02:00:00,2324.55,2324.55,2323.12,2323.73,171,20,0
2024-07-01 02:05:00,2323.72,2324.32,2323.7,2324.29,56,20,0
2024-07-01 02:10:00,2324.37,2325.57,2324.37,2325.51,102,20,0
2024-07-01 02:15:00,2325.49,2325.6,2325.05,2325.12,105,20,0
2024-07-01 02:20:00,2325.04,2325.22,2324.8,2325.1,69,20,0
2024-07-01 02:25:00,2325.09,2325.22,2324.91,2325.19,70,20,0
2024-07-01 02:30:00,2325.23,2325.34,2324.88,2325.12,62,20,0
2024-07-01 02:35:00,2325.12,2326.1,2325.05,2325.77,139,20,0
2024-07-01 02:40:00,2325.7,2325.89,2325.29,2325.65,154,20,0
2024-07-01 02:45:00,2325.66,2325.99,2325.57,2325.64,114,20,0
2024-07-01 02:50:00,2325.63,2325.63,2325.26,2325.51,128,20,0
2024-07-01 02:55:00,2325.53,2325.53,2324.73,2324.88,119,20,0
2024-07-01 03:00:00,2324.89,2324.9,2323.2,2323.34,348,20,0
2024-07-01 03:05:00,2323.34,2323.67,2322.59,2323.3,280,20,0
2024-07-01 03:10:00,2323.29,2323.47,2322.4,2322.55,236,20,0
2024-07-01 03:15:00,2322.56,2323.15,2322.28,2322.73,330,20,0
