time,open,high,low,close,tick_volume,spread,real_volume
2024-07-01 00:00:00,2324.67,2326.1,2322.2,2324.75,5528,20,0
2024-07-01 04:00:00,2324.81,2328.52,2321.42,2323.64,15307,20,0
2024-07-01 08:00:00,2323.65,2328.9,2318.54,2325.82,22926,20,0
2024-07-01 12:00:00,2325.81,2338.43,2325.44,2327.33,21782,20,0
2024-07-01 16:00:00,2327.33,2334.27,2319.24,2328.11,31317,20,0
2024-07-01 20:00:00,2328.12,2332.36,2326.73,2331.74,9275,20,0
2024-07-02 00:00:00,2331.63,2333.87,2331.39,2333.0,4624,20,0
2024-07-02 04:00:00,2333.04,2334.3,2324.89,2327.27,15285,20,0
2024-07-02 08:00:00,2327.26,2332.38,2323.26,2331.17,17911,20,0
2024-07-02 12:00:00,2331.16,2331.86,2319.02,2327.45,20526,20,0
2024-07-02 16:00:00,2327.33,2336.7,2320.94,2322.81,30974,20,0
2024-07-02 20:00:00,2322.8,2331.28,2322.05,2329.46,9878,20,0
2024-07-03 00:00:00,2329.47,2332.14,2329.47,2330.22,4231,20,0
2024-07-03 04:00:00,2330.18,2335.18,2326.9,2334.45,13701,20,0
2024-07-03 08:00:00,2334.44,2347.52,2331.97,2344.6,21854,20,0
2024-07-03 12:00:00,2344.64,2356.09,2342.08,2350.4,25111,20,0
2024-07-03 16:00:00,2350.47,2364.92,2347.51,2356.57,34395,20,0
2024-07-03 20:00:00,2356.58,2360.81,2353.7,2355.93,8173,20,0
2024-07-04 00:00:00,2357.01,2359.59,2356.12,2358.52,4443,20,0
2024-07-04 04:00:00,2358.52,2362.38,2357.2,2358.46,13890,20,0
2024-07-04 08:00:00,2358.45,2359.59,2350.41,2358.8,16030,20,0
2024-07-04 12:00:00,2358.81,2360.35,2355.65,2357.72,11469,20,0
2024-07-04 16:00:00,2357.74,2361.79,2355.33,2357.81,15964,20,0
2024-07-04 20:00:00,2357.79,2358.02,2356.12,2356.74,891,20,0
2024-07-05 00:00:00,2356.69,2358.99,2354.22,2358.85,6247,20,0
2024-07-05 04:00:00,2358.84,2364.65,2356.84,2363.92,17246,20,0
2024-07-05 08:00:00,2363.94,2368.01,2362.2,2366.42,19199,20,0
