time,open,high,low,Close,tick_volume,spread,real_volume
2024-04-01 01:00:00,2240.22,2245.66,2235.07,2239.46,829,21,0
2024-04-01 01:05:00,2239.37,2243.15,2238.47,2242.08,602,21,0
2024-04-01 01:10:00,2242.08,2242.4,2238.46,2240.5,460,21,0
2024-04-01 01:15:00,2240.46,2241.29,2238.14,2239.85,457,21,0
2024-04-01 01:20:00,2239.87,2241.82,2239.68,2241.58,309,21,0
2024-04-01 01:25:00,2241.51,2242.19,2241.0,2241.8,295,21,0
2024-04-01 01:30:00,2241.96,2242.1,2239.31,2239.37,274,21,0
2024-04-01 01:35:00,2239.33,2239.58,2236.47,2236.81,397,21,0
2024-04-01 01:40:00,2236.6,2237.71,2235.98,2236.78,268,21,0
2024-04-01 01:45:00,2236.68,2237.81,2236.04,2236.9,269,21,0
2024-04-01 01:50:00,2236.79,2237.49,2235.93,2237.25,289,21,0
2024-04-01 01:55:00,2237.26,2238.06,2236.78,2236.86,214,21,0
2024-04-01 02:00:00,2236.98,2237.82,2235.63,2237.35,348,21,0
2024-04-01 02:05:00,2237.46,2238.55,2237.16,2238.26,223,21,0
2024-04-01 02:10:00,2238.25,2238.47,2237.81,2238.44,188,21,0
2024-04-01 02:15:00,2238.39,2239.1,2237.74,2239.08,188,21,0
2024-04-01 02:20:00,2239.11,2239.73,2238.76,2238.76,200,21,0
2024-04-01 02:25:00,2238.84,2240.32,2238.68,2240.09,215,21,0
2024-04-01 02:30:00,2240.59,2242.42,2240.43,2242.01,316,21,0
2024-04-01 02:35:00,2241.99,2243.46,2241.8,2242.86,333,21,0
2024-04-01 02:40:00,2242.79,2245.51,2242.21,2244.88,436,21,0
2024-04-01 02:45:00,2244.88,2247.31,2243.99,2244.62,668,21,0
2024-04-01 02:50:00,2244.7,2245.2,2243.36,2244.64,483,21,0
2024-04-01 02:55:00,2244.69,2246.52,2244.63,2245.89,502,21,0
2024-04-01 03:00:00,2246.61,2246.61,2243.87,2244.97,455,21,0
2024-04-01 03:05:00,2245.14,2248.45,2245.08,2248.45,520,21,0
2024-04-01 03:10:00,2248.48,2250.54,2246.98,2247.38,600,21,0
2024-04-01 03:15:00,2247.39,2249.2,2246.92,2249.08,366,21,0
2024-04-01 03:20:00,2249.08,2250.21,2248.4,2249.02,358,21,0
2024-04-01 03:25:00,2249.03,2250.12,2248.93,2250.1,358,21,0
2024-04-01 03:30:00,2249.85,2253.49,2249.61,2251.26,517,21,0
2024-04-01 03:35:00,2251.25,2254.41,2251.16,2253.82,541,21,0
2024-04-01 03:40:00,2253.83,2256.32,2253.49,2253.9,593,21,0
2024-04-01 03:45:00,2254.05,2254.34,2251.35,2251.99,499,21,0
